Dataset,Sensors,Method,p_value,t_stat
20221121,3,B1,,
20221121,3,B2,5.235677419153572e-10,26.433359715706445
20221121,3,B3,2.108264424367825e-06,8.270850709135894
20221121,3,B4,8.56020659771884e-08,9.351028212492846
20221121,3,B5,4.327973436605449e-05,5.493540212936331
20221121,3,B6,0.06997420107201505,-1.972922995825132
20221121,3,B8,,
20221121,4,B1,,
20221121,4,B2,4.651534478386897e-09,21.14378125561012
20221121,4,B3,4.5913693167123464e-05,6.672595359968834
20221121,4,B4,2.116231969000984e-09,11.865511888779727
20221121,4,B5,9.98509880315007e-08,9.381221355535265
20221121,4,B6,0.398569282414021,0.8680099104441342
20221121,4,B8,,
20221121,5,B1,,
20221121,5,B2,2.537012841399521e-09,22.30604450016402
20221121,5,B3,4.8443872301151765e-05,6.452101768808047
20221121,5,B4,1.5588437083128034e-09,12.781654871746046
20221121,5,B5,1.3148068509344861e-08,10.79689888104225
20221121,5,B6,0.6897758555536246,-0.4080259066777744
20221121,5,B8,,
20221121,6,B1,,
20221121,6,B2,4.361255134064596e-08,16.621450221017284
20221121,6,B3,2.390113925077207e-05,7.0092402756602565
20221121,6,B4,8.008472793753461e-11,13.536381999618868
20221121,6,B5,1.4100673026668063e-05,6.339896142240795
20221121,6,B6,0.007318031960899455,-3.026256300912842
20221121,6,B8,,
20221121,7,B1,,
20221121,7,B2,8.055287585661238e-09,19.736434273259547
20221121,7,B3,0.0010017747129233742,4.6519793231842534
20221121,7,B4,5.663988105532828e-05,5.672769032107493
20221121,7,B5,0.1037400589370089,1.727091782509277
20221121,7,B6,0.19296578899628639,-1.3530405325285737
20221121,7,B8,,
20221122,3,B1,,
20221122,3,B2,6.196589962178792e-10,25.55896860625466
20221122,3,B3,4.065268646822715e-12,20.10409373561951
20221122,3,B4,3.991837440671908e-10,21.314805295880166
20221122,3,B5,1.683993003021913e-11,18.12982219472061
20221122,3,B6,0.6671423106565721,0.43774366971964723
20221122,3,B8,,
20221122,4,B1,,
20221122,4,B2,8.25180753060241e-08,15.317616494546803
20221122,4,B3,1.3234555134435655e-11,17.800609752756287
20221122,4,B4,8.033287207374231e-09,13.703971757968976
20221122,4,B5,3.0812280905276354e-09,14.250365949038894
20221122,4,B6,0.2688731896704987,1.1421119396527772
20221122,4,B8,,
20221122,5,B1,,
20221122,5,B2,1.0246058223707139e-08,19.071246949262108
20221122,5,B3,3.96197050697943e-09,16.285465835666937
20221122,5,B4,1.166388877085331e-06,8.692543567937012
20221122,5,B5,1.583198421823656e-06,7.738927802910227
20221122,5,B6,0.8290231852538017,0.21925256801580004
20221122,5,B8,,
20221122,6,B1,,
20221122,6,B2,3.2798207839766115e-10,26.03662276365844
20221122,6,B3,0.00011471122609215592,4.983397748432176
20221122,6,B4,0.6445488367207413,-0.47511352458943007
20221122,6,B5,0.17191992042271084,-1.4455300149865693
20221122,6,B6,0.21580833312263856,-1.2841850970291706
20221122,6,B8,,
20221122,7,B1,,
20221122,7,B2,2.5423536885631935e-11,29.100459142609456
20221122,7,B3,0.06135090486592539,2.0329685313942494
20221122,7,B4,0.012245853661047391,-3.0136985074952554
20221122,7,B5,0.0013020588850130024,-4.225692484972825
20221122,7,B6,0.508514340381649,0.6746275958558197
20221122,7,B8,,
20221123,3,B1,,
20221123,3,B2,5.238992182773387e-07,12.524756669108172
20221123,3,B3,6.486027719883756e-10,11.92089769947448
20221123,3,B4,9.690339283574304e-06,7.672007257814536
20221123,3,B5,5.304656961682893e-06,6.830584352268581
20221123,3,B6,0.5194993738934004,0.6583049782500793
20221123,3,B8,,
20221123,4,B1,,
20221123,4,B2,1.133549311718722e-08,19.40717702014724
20221123,4,B3,3.7371028832994435e-05,5.7909297221862595
20221123,4,B4,0.047678909008143484,2.167033757446747
20221123,4,B5,0.09514472077806782,1.787199790896908
20221123,4,B6,0.6197872483168508,0.5060703746827375
20221123,4,B8,,
20221123,5,B1,,
20221123,5,B2,2.5371652065590273e-08,17.764898682879775
20221123,5,B3,1.1147388508074363e-05,7.941538885687242
20221123,5,B4,0.6172906838839916,0.5091195247722159
20221123,5,B5,0.586727522493967,0.5562456226668213
20221123,5,B6,0.7129408367015169,-0.3738803551368186
20221123,5,B8,,
20221123,6,B1,,
20221123,6,B2,3.956340382835517e-08,16.887512704660626
20221123,6,B3,2.803730459524962e-05,6.670136743976645
20221123,6,B4,5.449839340050037e-07,-8.764086579319846
20221123,6,B5,0.05270701092646088,-2.1452734394848916
20221123,6,B6,0.31815789329392846,1.0416485199783618
20221123,6,B8,,
20221123,7,B1,,
20221123,7,B2,1.0806685335386893e-07,15.038881721799122
20221123,7,B3,0.011049165258831832,2.914510612633235
20221123,7,B4,0.0024361791267533653,-3.5416443033573337
20221123,7,B5,0.0002981797909918981,-4.504864275758946
20221123,7,B6,0.1620779693011331,1.4673996062986583
20221123,7,B8,,
20221129,3,B1,,
20221129,3,B2,1.4229100269324255e-08,18.93156056615475
20221129,3,B3,2.2647802374259964e-16,28.977127963745374
20221129,3,B4,1.8250394538474754e-16,28.684485670907037
20221129,3,B5,1.2071612390630449e-14,23.09786419987401
20221129,3,B6,0.9661402768656853,-0.04332371996547586
20221129,3,B8,,
20221129,4,B1,,
20221129,4,B2,7.076762369880041e-10,25.726057865290894
20221129,4,B3,9.492572025017297e-13,17.63611010396844
20221129,4,B4,3.1391666094166096e-10,14.076106279233219
20221129,4,B5,1.8049799425342306e-10,13.089473745828972
20221129,4,B6,0.16267986907395748,-1.4636415179486557
20221129,4,B8,,
20221129,5,B1,,
20221129,5,B2,2.859925092587585e-10,28.973439857645694
20221129,5,B3,1.613641970223801e-10,18.78844493848704
20221129,5,B4,4.335935177156646e-14,21.485702201886678
20221129,5,B5,9.336696883368404e-11,16.28832628765522
20221129,5,B6,0.1406244255976947,-1.5536660077656463
20221129,5,B8,,
20221129,6,B1,,
20221129,6,B2,5.39424400748603e-09,20.638830541194388
20221129,6,B3,6.432971162119911e-10,12.16706618847264
20221129,6,B4,6.397847602872796e-07,7.593688057831967
20221129,6,B5,6.0522237167392975e-06,6.307223946862707
20221129,6,B6,0.2603388522440396,-1.1622909705791231
20221129,6,B8,,
20221129,7,B1,,
20221129,7,B2,2.946316141234739e-08,16.65096694206107
20221129,7,B3,0.00015835183451177169,5.037948931678081
20221129,7,B4,0.041283540998649323,-2.3005258652132787
20221129,7,B5,0.07203644255802304,-1.9194880489320223
20221129,7,B6,0.6106425109922458,-0.5189631549258604
20221129,7,B8,,
20221202,3,B1,,
20221202,3,B2,8.538440391581892e-09,19.584724383711816
20221202,3,B3,3.5855105919463766e-12,24.357778793900557
20221202,3,B4,2.936186278997541e-11,24.263446151130665
20221202,3,B5,1.0281425409392917e-12,17.948538105697207
20221202,3,B6,0.12610026835532184,1.604072200873905
20221202,3,B8,,
20221202,4,B1,,
20221202,4,B2,3.343622355329107e-07,13.06189252879244
20221202,4,B3,1.1207992698312106e-09,15.77080543075779
20221202,4,B4,4.7404813759182564e-08,12.928948388694392
20221202,4,B5,1.8068612167894923e-08,12.310892174163113
20221202,4,B6,0.4344218554099555,0.8003284714424685
20221202,4,B8,,
20221202,5,B1,,
20221202,5,B2,2.3442320119799078e-08,17.83505035412778
20221202,5,B3,1.1470272945765773e-10,17.97884673361523
20221202,5,B4,4.442704983995268e-14,21.030990807098345
20221202,5,B5,4.438792470361052e-10,14.443589209239924
20221202,5,B6,0.005407785287991209,3.19626959043173
20221202,5,B8,,
20221202,6,B1,,
20221202,6,B2,3.4528970383722475e-07,12.873315553412384
20221202,6,B3,7.701080127266994e-08,11.002498945759834
20221202,6,B4,0.0001253834198119034,5.857518321914698
20221202,6,B5,0.00028659504581913993,4.961436652243549
20221202,6,B6,0.9246632495881253,0.09613542596669666
20221202,6,B8,,
20221202,7,B1,,
20221202,7,B2,1.2542624817758764e-09,21.68055457518061
20221202,7,B3,0.0017687354182796596,3.8493559463006872
20221202,7,B4,0.4678917687789693,-0.7532142369023056
20221202,7,B5,0.029008658749698248,-2.4669111119510103
20221202,7,B6,0.3153485373937939,-1.0328842686011184
20221202,7,B8,,
ngsim,3,B1,,
ngsim,3,B2,1.6789334671326762e-07,13.954217906681524
ngsim,3,B3,0.15523183479279906,1.48369213915847
ngsim,3,B4,0.012074693331178936,-2.8874367264210563
ngsim,3,B5,0.5119928567050531,0.6710860550085486
ngsim,3,B6,0.9677051341085314,-0.04112650031447156
ngsim,3,B8,,
ngsim,4,B1,,
ngsim,4,B2,8.998684128999758e-09,19.298301469257467
ngsim,4,B3,0.13060197468239496,1.6030450069250728
ngsim,4,B4,0.0005163209915216113,-4.465145176226719
ngsim,4,B5,0.7710502750292931,0.29678918965974377
ngsim,4,B6,0.4353785261075166,-0.7988856697103047
ngsim,4,B8,,
ngsim,5,B1,,
ngsim,5,B2,5.8331126805088586e-08,15.80499454128701
ngsim,5,B3,0.6496149481827576,0.46254075815112
ngsim,5,B4,9.122347304192324e-05,-5.145653712574977
ngsim,5,B5,0.42713658461863324,-0.8146848640312019
ngsim,5,B6,0.31984334300633194,-1.0233661463242978
ngsim,5,B8,,
ngsim,6,B1,,
ngsim,6,B2,6.820817239992845e-06,9.142113729904983
ngsim,6,B3,0.20730270290022568,-1.308368493511426
ngsim,6,B4,8.75022591414916e-07,-10.231289344553609
ngsim,6,B5,0.014060401677353215,-2.7210466143422996
ngsim,6,B6,0.4045348757539522,-0.8544743992364205
ngsim,6,B8,,
ngsim,7,B1,,
ngsim,7,B2,2.654250557805199e-06,10.151649024408671
ngsim,7,B3,0.0013558309066330227,-3.7926428013174496
ngsim,7,B4,7.282994739254276e-08,-12.893546917320512
ngsim,7,B5,1.2484490296129743e-05,-7.082980781731515
ngsim,7,B6,0.8524431754548903,-0.1886954175568569
ngsim,7,B8,,
